yourlist:M20210906F248CABF64506F29A91F8037F07B67D11995558	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
TRT82317.1	A0A552AA18	A0A552AA18_MICAE	unreviewed	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)	pth EWV63_19885	Microcystis aeruginosa Ma_OC_H_19870700_S124	208	cytoplasm [GO:0005737]; aminoacyl-tRNA hydrolase activity [GO:0004045]; translation [GO:0006412]	GO:0004045; GO:0005737; GO:0006412
NET90696.1	A0A6P1AJY6	A0A6P1AJY6_9CYAN	unreviewed	DNA repair protein RadA	radA F6K45_21830	Kamptonema sp. SIO1D9	515	"ATP binding [GO:0005524]; ATPase activity, acting on DNA [GO:0008094]; damaged DNA binding [GO:0003684]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; recombinational repair [GO:0000725]"	GO:0000725; GO:0003684; GO:0005524; GO:0008094; GO:0016787; GO:0046872
NET60792.1	A0A6M0GA55	A0A6M0GA55_9CYAN	unreviewed	Glycosyltransferase family 2 protein	F6K47_33055	Symploca sp. SIO2E6	229	transferase activity [GO:0016740]	GO:0016740
OQY45804.1	A0A1W9WAI2	A0A1W9WAI2_9CHLR	unreviewed	PMT_2 domain-containing protein	B6242_09450	Anaerolineaceae bacterium 4572_78	680	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transferase activity, transferring glycosyl groups [GO:0016757]"	GO:0005886; GO:0016021; GO:0016757
NER84600.1	A0A6G3ZCV6	A0A6G3ZCV6_9CYAN	unreviewed	Coproporphyrinogen-III oxidase (EC 1.3.98.3)	hemN F6K42_34785	Leptolyngbya sp. SIO1D8	465	"cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; coproporphyrinogen dehydrogenase activity [GO:0051989]; coproporphyrinogen oxidase activity [GO:0004109]; metal ion binding [GO:0046872]; protoporphyrinogen IX biosynthetic process [GO:0006782]"	GO:0004109; GO:0005737; GO:0006782; GO:0046872; GO:0051539; GO:0051989
MBA3961645.1	A0A7W1YXY8	A0A7W1YXY8_9BACT	unreviewed	Class I SAM-dependent methyltransferase	H0X40_07060	Chthoniobacterales bacterium	206		
OCQ91426.1	A0A1C0V107	A0A1C0V107_9CYAN	unreviewed	HicB-like domain-containing protein	BCD67_23735	Oscillatoriales cyanobacterium USR001	75		
KYC43744.1	A0A139XGB9	A0A139XGB9_9CYAN	unreviewed	Uncharacterized protein	WA1_00845	Scytonema hofmannii PCC 7110	308		
NEO55721.1	A0A6L9ZYH4	A0A6L9ZYH4_9CYAN	unreviewed	CRTAC1 family protein	F6K54_23225	Okeania sp. SIO3B5	669		
RCJ42568.1	A0A367S174	A0A367S174_NOSPU	unreviewed	Tnp_DDE_dom domain-containing protein	A6769_37170	Nostoc punctiforme NIES-2108	125		
HIJ70930.1	A0A7C8ETJ0	A0A7C8ETJ0_9BACT	unreviewed	PEP-CTERM sorting domain-containing protein	HPP87_06155	Planctomycetes bacterium	224		
REJ49033.1	A0A3E0LQC0	A0A3E0LQC0_9CHRO	unreviewed	Uncharacterized protein	DWQ51_17865	Microcystis wesenbergii TW10	525	integral component of membrane [GO:0016021]	GO:0016021
NEO37379.1	A0A6P0KLX0	A0A6P0KLX0_9CYAN	unreviewed	Helix-turn-helix domain-containing protein	F6J90_14025	Moorea sp. SIOASIH	138		
NEO26218.1	A0A6P0JT51	A0A6P0JT51_9CYAN	unreviewed	Photosystem II reaction center protein M (PSII-M)	psbM F6K03_04810	Kamptonema sp. SIO4C4	33	"integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis, light reaction [GO:0019684]"	GO:0009523; GO:0016021; GO:0019684; GO:0031676
NEQ45579.1	A0A6I5NSZ9	A0A6I5NSZ9_9CYAN	unreviewed	OFA family MFS transporter	F6K00_19365	Leptolyngbya sp. SIOISBB	415	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
NEP41912.1	A0A6M0C2Q0	A0A6M0C2Q0_9CYAN	unreviewed	IS200/IS605 family element transposase accessory protein TnpB	tnpB F6K35_22830	Okeania sp. SIO2H7	408	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196
EAM50019.1	Q4C1K0	Q4C1K0_CROWT	unreviewed	Uncharacterized protein	CwatDRAFT_3190	Crocosphaera watsonii WH 8501	243		
PNW30831.1	A0A2K2ZH16	A0A2K2ZH16_9CHRO	unreviewed	Erythromycin biosynthesis sensory transduction protein eryC1	BEN50_20225	Euhalothece sp. KZN 001	385	catalytic activity [GO:0003824]	GO:0003824
NER37646.1	A0A7C9U2D5	A0A7C9U2D5_9CYAN	unreviewed	DUF5615 domain-containing protein	F6J93_27405	Oscillatoria sp. SIO1A7	120		
NES20547.1	A0A6P0WST9	A0A6P0WST9_9CYAN	unreviewed	DUF433 domain-containing protein	F6K41_16850	Caldora sp. SIO3E6	107		
RCJ35322.1	A0A367RJ37	A0A367RJ37_NOSPU	unreviewed	Uncharacterized protein	A6769_19580	Nostoc punctiforme NIES-2108	150		
HGG01388.1	A0A7C3ZWT2	A0A7C3ZWT2_9CYAN	unreviewed	Gfo/Idh/MocA family oxidoreductase	ENR15_12265	Planktothricoides sp. SpSt-374	314	nucleotide binding [GO:0000166]	GO:0000166
HCO27111.1	A0A3D3RE54	A0A3D3RE54_9PLAN	unreviewed	Peroxidase (Fragment)	DIT97_30415	Gimesia maris	796	heme binding [GO:0020037]; peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]	GO:0004601; GO:0006979; GO:0020037
CAO88928.1	A8YAY0	A8YAY0_MICAE	unreviewed	"Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)"	fbp IPF_5588	Microcystis aeruginosa PCC 7806	351	"cytoplasm [GO:0005737]; fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; magnesium ion binding [GO:0000287]; carbohydrate biosynthetic process [GO:0016051]"	GO:0000287; GO:0005737; GO:0016051; GO:0042132
PHM07678.1	A0A2D0HDU6	A0A2D0HDU6_9NOSO	unreviewed	Adenosylcobinamide kinase (EC 2.7.1.156) (EC 2.7.7.62) (Adenosylcobinamide-phosphate guanylyltransferase)	CK516_25570	Nostoc sp. 'Peltigera malacea cyanobiont' DB3992	191	adenosylcobinamide kinase (ATP-specific) activity [GO:0036429]; adenosylcobinamide kinase (GTP-specific) activity [GO:0036428]; ATP binding [GO:0005524]; cobinamide phosphate guanylyltransferase activity [GO:0008820]; GTP binding [GO:0005525]; cobalamin biosynthetic process [GO:0009236]	GO:0005524; GO:0005525; GO:0008820; GO:0009236; GO:0036428; GO:0036429
NEO99311.1	A0A6B3M2H0	A0A6B3M2H0_9CYAN	unreviewed	Prepilin-type N-terminal cleavage/methylation domain-containing protein	F6K58_11630	Symploca sp. SIO2E9	193	integral component of membrane [GO:0016021]; type II protein secretion system complex [GO:0015627]; protein secretion by the type II secretion system [GO:0015628]	GO:0015627; GO:0015628; GO:0016021
ADN16275.1	E0UB30	E0UB30_GLOV7	unreviewed	Uncharacterized protein	Cyan7822_4359	Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))	204	integral component of membrane [GO:0016021]	GO:0016021
NEP86960.1	A0A6P0NP75	A0A6P0NP75_9CYAN	unreviewed	DUF427 domain-containing protein	F6K18_08990	Okeania sp. SIO2C2	94		
CCQ68886.1	T2JV59	T2JV59_CROWT	unreviewed	DUF218 domain-containing protein	CWATWH0402_1599	Crocosphaera watsonii WH 0402	212		
HAZ46817.1	A0A351L7P7	A0A351L7P7_9CYAN	unreviewed	Potassium/proton antiporter	DCZ55_20780	Cyanobacteria bacterium UBA11371	406	integral component of membrane [GO:0016021]; monovalent cation:proton antiporter activity [GO:0005451]; potassium ion transport [GO:0006813]	GO:0005451; GO:0006813; GO:0016021
HAC65315.1	A0A3B8Y8E2	A0A3B8Y8E2_9CYAN	unreviewed	Uncharacterized protein	DCF68_17750	Cyanothece sp. UBA12306	175	integral component of membrane [GO:0016021]	GO:0016021
REJ49113.1	A0A3E0LQK0	A0A3E0LQK0_9CHRO	unreviewed	Cytochrome c biogenesis protein CcsB	ccsB ccs1 DWQ53_03725	Microcystis flos-aquae DF17	447	integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]; cytochrome complex assembly [GO:0017004]	GO:0016021; GO:0017004; GO:0031676
NEO73790.1	A0A6P0LMI1	A0A6P0LMI1_9CYAN	unreviewed	Glycogen debranching protein	F6K52_31110	Moorea sp. SIO3H5	68		
HAT13162.1	A0A349JH98	A0A349JH98_9CYAN	unreviewed	Uncharacterized protein	DCS91_05945	Microcoleaceae bacterium UBA11344	82		
BAP18135.1	A0A077JFZ3	A0A077JFZ3_9CYAN	unreviewed	AIG2 family protein	ETSB_1388	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	206	gamma-glutamylcyclotransferase activity [GO:0003839]	GO:0003839
PYV10679.1	A0A2V9JRV9	A0A2V9JRV9_9BACT	unreviewed	2-phospho-L-lactate guanylyltransferase	DMG23_06850	Acidobacteria bacterium	70	nucleotidyltransferase activity [GO:0016779]	GO:0016779
NEN98269.1	A0A6P0IKN3	A0A6P0IKN3_9CYAN	unreviewed	Helix-turn-helix domain-containing protein	F6K50_22955	Moorea sp. SIO3I7	144		
TRT66418.1	A0A551YZM1	A0A551YZM1_9CHRO	unreviewed	Cation-translocating P-type ATPase	EWV84_16010	Microcystis sp. M_QC_C_20170808_M3Col	928	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016021; GO:0016887
NEO59664.1	A0A6M0ABW4	A0A6M0ABW4_9CYAN	unreviewed	AtzE family amidohydrolase	F6J98_04280	Moorea sp. SIO4G2	463	hydrolase activity [GO:0016787]	GO:0016787
BBD58131.1	A0A2Z6CN17	A0A2Z6CN17_9NOSO	unreviewed	TPR_REGION domain-containing protein	NIES2109_09020	Nostoc sp. HK-01	363		
KPL80794.1	A0A0N8GPG0	A0A0N8GPG0_9CHLR	unreviewed	Uncharacterized protein	ADN01_11085	Levilinea saccharolytica	813	plasma membrane [GO:0005886]; phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0005886
PJF25377.1	A0A2M8NJC7	A0A2M8NJC7_9CHLR	unreviewed	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	CUN53_13105	Candidatus Thermofonsia Clade 2 bacterium	269	site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]	GO:0009007
NER19974.1	A0A6P0UTX7	A0A6P0UTX7_9CYAN	unreviewed	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)	bioD F6J96_04425	Symploca sp. SIO1C2	230	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; dethiobiotin synthase activity [GO:0004141]; magnesium ion binding [GO:0000287]; biotin biosynthetic process [GO:0009102]	GO:0000287; GO:0004141; GO:0005524; GO:0005737; GO:0009102
KST67950.1	A0A0V7ZU05	A0A0V7ZU05_9CYAN	unreviewed	RND transporter	BC008_31530	Mastigocoleus testarum BC008	408	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
ORA19553.1	A0A1W9ZPG8	A0A1W9ZPG8_9MYCO	unreviewed	Adenylate/guanylate cyclase domain-containing protein	BST12_17170	Mycobacterium angelicum	735	integral component of membrane [GO:0016021]; cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]	GO:0009190; GO:0016021; GO:0035556
OBQ38244.1	A0A1B7WM71	A0A1B7WM71_9NOST	unreviewed	Cytosine-specific methyltransferase (EC 2.1.1.37)	AN487_07990	Anabaena sp. CRKS33	415	DNA (cytosine-5-)-methyltransferase activity [GO:0003886]; DNA restriction-modification system [GO:0009307]	GO:0003886; GO:0009307
OGT90415.1	A0A1G0KUM9	A0A1G0KUM9_9GAMM	unreviewed	DNA polymerase subunit beta	A2514_03520	Gammaproteobacteria bacterium RIFOXYD12_FULL_61_37	96	nucleotidyltransferase activity [GO:0016779]	GO:0016779
RKZ73114.1	A0A496VKU9	A0A496VKU9_9GAMM	unreviewed	Uncharacterized protein	DRR16_33385	Gammaproteobacteria bacterium	239	integral component of membrane [GO:0016021]	GO:0016021
OBQ37668.1	A0A1B7WKL1	A0A1B7WKL1_9NOST	unreviewed	Thioesterase superfamily protein	AN487_09645	Anabaena sp. CRKS33	166	hydrolase activity [GO:0016787]	GO:0016787
NEO28267.1	A0A6P0JYJ4	A0A6P0JYJ4_9CYAN	unreviewed	Uncharacterized protein	F6K03_15640	Kamptonema sp. SIO4C4	74		
RAM52887.1	A0A328II87	A0A328II87_9CYAN	unreviewed	Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44)	cheB C6Y22_03575	Hapalosiphonaceae cyanobacterium JJU2	355	cytoplasm [GO:0005737]; phosphorelay response regulator activity [GO:0000156]; protein-glutamate methylesterase activity [GO:0008984]; protein-glutamine glutaminase activity [GO:0050568]; chemotaxis [GO:0006935]; protein deamination [GO:0018277]; protein demethylation [GO:0006482]	GO:0000156; GO:0005737; GO:0006482; GO:0006935; GO:0008984; GO:0018277; GO:0050568
NEO31299.1	A0A6P0K4Q6	A0A6P0K4Q6_9CYAN	unreviewed	Chemotaxis protein CheW	F6K36_12875	Symploca sp. SIO3C6	361	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	GO:0006935; GO:0007165
NEO40496.1	A0A6P0KWW5	A0A6P0KWW5_9CYAN	unreviewed	LON peptidase substrate-binding domain-containing protein	F6J90_30815	Moorea sp. SIOASIH	213		
RMF65174.1	A0A3M1PC38	A0A3M1PC38_9CYAN	unreviewed	Tetratricopeptide repeat protein	D6742_13225	Cyanobacteria bacterium J069	121	integral component of membrane [GO:0016021]	GO:0016021
REJ40396.1	A0A3E0KZ74	A0A3E0KZ74_9CHRO	unreviewed	Adenylate/guanylate cyclase domain-containing protein	DWQ54_19010	Microcystis flos-aquae TF09	358	cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]	GO:0009190; GO:0035556
KKD39569.1	A0A0F5YKZ9	A0A0F5YKZ9_9CYAN	unreviewed	TPR_REGION domain-containing protein	WN50_02600 WN50_37755	Limnoraphis robusta CS-951	897		
OIP67752.1	A0A1J5GL64	A0A1J5GL64_9CYAN	unreviewed	RuBisCO chaperone RbcX	AUK43_18440	Oscillatoriales cyanobacterium CG2_30_40_61	134	carboxysome [GO:0031470]; protein folding chaperone [GO:0044183]; carbon fixation [GO:0015977]; photosynthesis [GO:0015979]; ribulose bisphosphate carboxylase complex assembly [GO:0110102]	GO:0015977; GO:0015979; GO:0031470; GO:0044183; GO:0110102
NEQ43601.1	A0A6I5NV21	A0A6I5NV21_9CYAN	unreviewed	Vanadium-dependent haloperoxidase	F6K00_08595	Leptolyngbya sp. SIOISBB	620	peroxidase activity [GO:0004601]	GO:0004601
TVQ13133.1	A0A5Q4EDV2	A0A5Q4EDV2_9CYAN	unreviewed	Elongation factor P (EF-P)	efp EA368_02790	Leptolyngbya sp. DLM2.Bin27	186	cytoplasm [GO:0005737]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0005737
AFZ33625.1	K9XM03	K9XM03_9CHRO	unreviewed	Uncharacterized protein	Glo7428_5250	Gloeocapsa sp. PCC 7428	61		
KFF41384.1	A0A086CGS0	A0A086CGS0_9CHRO	unreviewed	Uroporphyrinogen III methylase (EC 2.1.1.107) (Uroporphyrinogen-III C-methyltransferase)	ucyna2_00809	Candidatus Atelocyanobacterium thalassa isolate SIO64986	503	uroporphyrin-III C-methyltransferase activity [GO:0004851]; uroporphyrinogen-III synthase activity [GO:0004852]; methylation [GO:0032259]; siroheme biosynthetic process [GO:0019354]	GO:0004851; GO:0004852; GO:0019354; GO:0032259
NET86611.1	A0A6P1A572	A0A6P1A572_9CYAN	unreviewed	Glycosyltransferase family 39 protein	F6K45_00595	Kamptonema sp. SIO1D9	558	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transferase activity, transferring glycosyl groups [GO:0016757]"	GO:0005886; GO:0016021; GO:0016757
PZV27235.1	A0A2W7B9N2	A0A2W7B9N2_9CYAN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES DCF12_05410	Snowella sp.	103	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]	GO:0005524; GO:0005737; GO:0006457; GO:0016887
AUC60860.1	A0A2K8WP08	A0A2K8WP08_9CHRO	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groEL-2 groEL groL AA637_06715	Cyanobacterium sp. HL-69	541	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082
NEO52477.1	A0A6L9ZJK5	A0A6L9ZJK5_9CYAN	unreviewed	DUF2283 domain-containing protein	F6K54_04960	Okeania sp. SIO3B5	79		
AVH72972.1	A0A2L2NVP9	A0A2L2NVP9_9NOSO	unreviewed	DUF4332 domain-containing protein	NLP_4565	Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'	255		
CCI12168.1	I4GQU4	I4GQU4_MICAE	unreviewed	PilT protein-like protein	MICAE_1150020	Microcystis aeruginosa PCC 9806	104		
PSB14717.1	A0A2T1D2K0	A0A2T1D2K0_9CYAN	unreviewed	Transcriptional repressor NrdR	nrdR C7B76_15490	filamentous cyanobacterium CCP2	212	"ATP binding [GO:0005524]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]; negative regulation of transcription, DNA-templated [GO:0045892]"	GO:0003677; GO:0005524; GO:0008270; GO:0045892
TRV00402.1	A0A552JXB1	A0A552JXB1_9CHRO	unreviewed	Sensor histidine kinase	EWV75_03270	Microcystis wesenbergii Mw_QC_S_20081001_S30D	449	integral component of membrane [GO:0016021]; phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0016021
AOY84495.1	A0A1D9GAK1	A0A1D9GAK1_9CYAN	unreviewed	Uncharacterized protein	BJP36_03745	Moorea producens JHB	417		
HEU32933.1	A0A7C2TY46	A0A7C2TY46_9BACT	unreviewed	Choice-of-anchor D domain-containing protein	ENQ60_15680	bacterium	1009	cytoplasm [GO:0005737]	GO:0005737
EGY25631.1	G2H8M0	G2H8M0_9DELT	unreviewed	Glycosyl transferase 2 family protein	DA2_2111	Desulfovibrio sp. A2	932	"transferase activity, transferring glycosyl groups [GO:0016757]"	GO:0016757
ABG03661.1	Q1AY67	Q1AY67_RUBXD	unreviewed	Sulfotransferase	Rxyl_0691	Rubrobacter xylanophilus (strain DSM 9941 / NBRC 16129 / PRD-1)	269	sulfotransferase activity [GO:0008146]	GO:0008146
NET55245.1	A0A6M0FUL5	A0A6M0FUL5_9CYAN	unreviewed	Cobalamin biosynthesis protein CobW	cobW F6K47_03315	Symploca sp. SIO2E6	345	cobalamin biosynthetic process [GO:0009236]	GO:0009236
OCR02653.1	A0A1C0VXY9	A0A1C0VXY9_9CYAN	unreviewed	S-layer protein	BCD67_15805	Oscillatoriales cyanobacterium USR001	395		
AHJ27998.1	W6FZD0	W6FZD0_NODSP	unreviewed	Transposase OrfB	NSP_16640	Nodularia spumigena CCY9414	90		
QJB47022.1	A0A6H2C5B5	A0A6H2C5B5_DOLFA	unreviewed	Amino acid ABC transporter substrate-binding protein	HGD76_11180	Dolichospermum flos-aquae CCAP 1403/13F	301		
TRT82119.1	A0A552A9H1	A0A552A9H1_MICAE	unreviewed	Serine/threonine-protein phosphatase (Fragment)	EWV82_11880	Microcystis aeruginosa Ma_AC_P_19900807_S299	120	phosphatase activity [GO:0016791]	GO:0016791
HAX77519.1	A0A350XE01	A0A350XE01_9CYAN	unreviewed	Transposase	DCY88_17210	Cyanobacteria bacterium UBA11372	420	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196
BAQ65650.1	A0A0D6ASM9	A0A0D6ASM9_9CHRO	unreviewed	Ubiquinone biosynthesis monooxygenase UbiB	GM3709_2415	Geminocystis sp. NIES-3709	586	integral component of membrane [GO:0016021]; monooxygenase activity [GO:0004497]	GO:0004497; GO:0016021
HAC63739.1	A0A3B8Y110	A0A3B8Y110_9CYAN	unreviewed	dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	rdgB DCF68_09415	Cyanothece sp. UBA12306	189	dITP diphosphatase activity [GO:0035870]; ITP diphosphatase activity [GO:0036220]; metal ion binding [GO:0046872]; nucleoside-triphosphatase activity [GO:0017111]; nucleotide binding [GO:0000166]; XTP diphosphatase activity [GO:0036222]; nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]	GO:0000166; GO:0009117; GO:0009146; GO:0017111; GO:0035870; GO:0036220; GO:0036222; GO:0046872
OGO38396.1	A0A1F8QSK3	A0A1F8QSK3_9CHLR	unreviewed	HicB-like domain-containing protein	A2147_03310	Chloroflexi bacterium RBG_16_57_8	136	"regulation of transcription, DNA-templated [GO:0006355]"	GO:0006355
TXI37864.1	A0A5C7WMB8	A0A5C7WMB8_9PROT	unreviewed	Transcriptional regulator	E6Q59_07245	Nitrosomonas sp.	119	"DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]"	GO:0003677; GO:0006355
NEO40187.1	A0A6P0KZG1	A0A6P0KZG1_9CYAN	unreviewed	Late competence development ComFB family protein	F6J90_29120	Moorea sp. SIOASIH	169		
NEP43760.1	A0A6M0C485	A0A6M0C485_9CYAN	unreviewed	Uncharacterized protein	F6K35_32860	Okeania sp. SIO2H7	100	integral component of membrane [GO:0016021]	GO:0016021
HAX79635.1	A0A350XK17	A0A350XK17_9CYAN	unreviewed	Protein kinase domain-containing protein	DCY88_28340	Cyanobacteria bacterium UBA11372	559	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	GO:0004672; GO:0005524; GO:0016021
OKH37190.1	A0A1U7IJA4	A0A1U7IJA4_9NOSO	unreviewed	Transposase	FACHB389_10225	Nostoc calcicola FACHB-389	202		
PYL73308.1	A0A2V6L6A4	A0A2V6L6A4_9BACT	unreviewed	Uncharacterized protein	DMF22_01880	Verrucomicrobia bacterium	364	"transferase activity, transferring glycosyl groups [GO:0016757]"	GO:0016757
OGO64814.1	A0A1F8SYA4	A0A1F8SYA4_9CHLR	unreviewed	Uncharacterized protein	A2030_00805	Chloroflexi bacterium RBG_19FT_COMBO_50_10	317	"NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"	GO:0016616; GO:0051287
EKQ68387.1	K8GHD6	K8GHD6_9CYAN	unreviewed	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	psbC OsccyDRAFT_2918	Leptolyngbyaceae cyanobacterium JSC-12	462	"integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; plasma membrane-derived thylakoid membrane [GO:0031676]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; metal ion binding [GO:0046872]; photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]"	GO:0009523; GO:0009772; GO:0016021; GO:0016168; GO:0018298; GO:0031676; GO:0045156; GO:0046872
RCJ25741.1	A0A367QPT4	A0A367QPT4_9NOSO	unreviewed	Uncharacterized protein	A6S26_15515	Nostoc sp. ATCC 43529	174	integral component of membrane [GO:0016021]	GO:0016021
ACB52227.1	B1WV30	B1WV30_CROS5	unreviewed	"Soluble hydrogenase 42 kD subunit, small subunit of soluble hydrogenase"	cce_2879	Crocosphaera subtropica (strain ATCC 51142 / BH68) (Cyanothece sp. (strain ATCC 51142))	402	catalytic activity [GO:0003824]	GO:0003824
MBA24173.1	A0A2E3AG49	A0A2E3AG49_9RHOB	unreviewed	Glutathione S-transferase	CML64_05240	Rhodobacteraceae bacterium	221	transferase activity [GO:0016740]; glutathione metabolic process [GO:0006749]	GO:0006749; GO:0016740
OKH21302.1	A0A1U7HCH3	A0A1U7HCH3_9CYAN	unreviewed	Low-complexity protein	NIES593_16010	Hydrococcus rivularis NIES-593	237		
